name,event,time
Jamya,joined,2021-01-25 19:31:13.449000+00:00
Jamya,left,2021-01-25 19:31:17.203000+00:00
Jamya,joined,2021-01-25 19:34:37.699000+00:00
Jamya,left,2021-01-25 19:34:41.426000+00:00
Jamya,joined,2021-01-25 20:56:06.055000+00:00
Jamya,left,2021-01-25 20:57:58.186000+00:00
Jamya,joined,2021-01-26 17:36:07.376000+00:00
Jamya,left,2021-01-26 17:36:18.387000+00:00
Ronin,joined,2021-01-28 22:47:06.941000+00:00
Ronin,left,2021-01-28 22:47:10.476000+00:00
Abagail,joined,2021-01-29 20:32:45.135000+00:00
Abagail,left,2021-01-29 23:49:37.241000+00:00
Abagail,joined,2021-01-30 02:52:02.856000+00:00
Abagail,left,2021-01-30 05:34:03.194000+00:00
Abagail,joined,2021-01-30 09:00:26.510000+00:00
Abagail,left,2021-01-30 09:02:26.307000+00:00
Abagail,joined,2021-01-30 11:07:32.050000+00:00
Abagail,left,2021-01-30 11:09:31.922000+00:00
Abagail,joined,2021-01-30 14:26:27.318000+00:00
Abagail,left,2021-01-30 14:28:27.245000+00:00
Abagail,joined,2021-01-30 15:19:16.356000+00:00
Abagail,left,2021-01-30 16:09:34.465000+00:00
Abagail,joined,2021-01-30 16:12:11.224000+00:00
Abagail,left,2021-01-30 16:14:11.085000+00:00
Abagail,joined,2021-01-30 16:22:12.657000+00:00
Abagail,left,2021-01-31 03:58:37.026000+00:00
Abagail,joined,2021-01-31 13:01:46.410000+00:00
Abagail,left,2021-01-31 19:51:46.856000+00:00
Abagail,joined,2021-01-31 20:01:24.927000+00:00
Abagail,left,2021-02-01 10:39:20.682000+00:00
Abagail,joined,2021-02-01 12:53:15.292000+00:00
Abagail,left,2021-02-01 13:21:22.915000+00:00
Abagail,joined,2021-02-01 13:22:13.898000+00:00
Abagail,left,2021-02-01 22:31:18.756000+00:00
Abagail,joined,2021-02-01 23:11:44.915000+00:00
Abagail,left,2021-02-01 23:13:48.350000+00:00
Abagail,joined,2021-02-02 00:10:21.194000+00:00
Abagail,left,2021-02-02 00:41:13.866000+00:00
Abagail,joined,2021-02-02 00:44:10.942000+00:00
Abagail,left,2021-02-02 03:55:55.331000+00:00
Abagail,joined,2021-02-02 09:15:51.691000+00:00
Abagail,left,2021-02-02 09:17:51.616000+00:00
Abagail,joined,2021-02-02 12:16:28.399000+00:00
Benjamin,joined,2021-02-02 15:56:13.914000+00:00
Benjamin,left,2021-02-02 15:56:29.373000+00:00
Abram,joined,2021-02-02 17:52:52.277000+00:00
Abram,left,2021-02-02 17:53:02.541000+00:00
Marlon,joined,2021-02-02 20:23:16.561000+00:00
Marlon,left,2021-02-02 20:23:19.706000+00:00
Marlon,joined,2021-02-02 20:23:29.637000+00:00
Marlon,left,2021-02-02 20:23:31.057000+00:00
Abagail,left,2021-02-02 20:23:58.054000+00:00
Jagger,joined,2021-02-04 18:03:03.922000+00:00
