word,negative,positive
whole,897.0,661.0
film,9373.0,10162.0
lasted,32.0,24.0
minutes,1108.0,420.0
maximum,12.0,9.0
although,535.0,784.0
interesting,834.0,717.0
concept,150.0,100.0
theme,167.0,263.0
really,3220.0,2791.0
develop,67.0,67.0
story,2556.0,3366.0
once,503.0,617.0
initial,48.0,53.0
idea,685.0,335.0
brave,31.0,56.0
stupid,738.0,136.0
bomb,84.0,38.0
disposal,10.0,5.0
expert,42.0,50.0
cowboy,29.0,59.0
introduced,72.0,83.0
happens,291.0,228.0
very,2957.0,4132.0
early,344.0,434.0
rest,553.0,396.0
repetitious,6.0,1.0
characters,1782.0,1760.0
explored,21.0,33.0
aspects,99.0,118.0
location,80.0,93.0
politics,54.0,56.0
ignored,29.0,30.0
nice,408.0,533.0
insight,38.0,53.0
appalling,51.0,9.0
difficulties,13.0,29.0
faced,47.0,50.0
troops,19.0,23.0
such,1224.0,1257.0
foreign,53.0,73.0
environment,32.0,69.0
differentiating,1.0,0.0
between,688.0,1016.0
friend,302.0,423.0
foe,6.0,4.0
way,1949.0,2063.0
unit,33.0,19.0
operated,2.0,2.0
stretched,28.0,15.0
belief,51.0,40.0
individual,43.0,76.0
performances,269.0,623.0
good,3766.0,3826.0
special,559.0,523.0
effects,679.0,433.0
adequate,27.0,25.0
enough,1000.0,762.0
overcome,25.0,47.0
basic,143.0,114.0
lack,351.0,187.0
content,97.0,77.0
normally,95.0,57.0
problem,488.0,269.0
movie,12518.0,9580.0
ending,618.0,579.0
leaves,165.0,181.0
wondering,116.0,63.0
puzzle,7.0,18.0
out,4524.0,4122.0
happened,302.0,232.0
it's,4298.0,4251.0
done,745.0,829.0
purpose,139.0,82.0
feels,221.0,222.0
last,681.0,757.0
realized,78.0,79.0
left,595.0,468.0
finish,122.0,95.0
saw,728.0,870.0
tbs,3.0,1.0
recommend,318.0,485.0
spend,160.0,96.0
money,833.0,389.0
catch,91.0,129.0
tv,715.0,654.0
watch,1755.0,1738.0
walk,152.0,98.0
away,757.0,688.0
make,2339.0,1685.0
mind,459.0,492.0
better,1678.0,1225.0
simply,559.0,432.0
come,842.0,803.0
back,1201.0,1271.0
state,135.0,130.0
poice,1.0,0.0
feds,3.0,2.0
find,906.0,1138.0
town,257.0,367.0
car,380.0,248.0
graveyard,18.0,15.0
gone,182.0,172.0
appearances,22.0,49.0
never,1628.0,1603.0
wish,223.0,241.0
more,3432.0,3785.0
thumbs,24.0,35.0
give,916.0,750.0
down,969.0,852.0
watched,574.0,534.0
whim,5.0,4.0
available,59.0,113.0
i'd,362.0,282.0
heard,275.0,281.0
thumb,12.0,5.0
movies,2030.0,1772.0
funny,1186.0,984.0
one,6512.0,6774.0
majority,56.0,66.0
jokes,293.0,190.0
based,303.0,374.0
around,971.0,834.0
geranium's,1.0,0.0
physique,3.0,2.0
turn,376.0,326.0
kate,55.0,84.0
winslet's,1.0,2.0
think,1831.0,1826.0
pathetic,213.0,30.0
thumbtanic,1.0,0.0
creators,25.0,36.0
stoop,7.0,4.0
low,623.0,281.0
jabs,4.0,1.0
respected,17.0,25.0
actress,282.0,327.0
heaven,64.0,105.0
forbid,7.0,2.0
doesn't,1305.0,956.0
starve,3.0,0.0
herself,160.0,249.0
model,65.0,56.0
ideal,16.0,39.0
modern,173.0,286.0
beauty,77.0,256.0
favorite,129.0,505.0
part,940.0,1060.0
line,517.0,423.0
goes,605.0,600.0
something,1390.0,1064.0
hey,125.0,77.0
great,1312.0,3238.0
let's,223.0,126.0
swim,9.0,27.0
over,1644.0,1537.0
makeshift,2.0,3.0
raft,18.0,6.0
seems,1021.0,809.0
see,2713.0,2982.0
thirty,36.0,27.0
seconds,145.0,47.0
amusement,20.0,16.0
minute,222.0,147.0
redeem,24.0,11.0
value,148.0,101.0
cable,76.0,83.0
recently,113.0,187.0
kinda,77.0,38.0
enjoyed,175.0,436.0
i've,891.0,766.0
reading,186.0,162.0
comments,199.0,211.0
here,1412.0,1389.0
everyone,494.0,617.0
likes,114.0,124.0
second,495.0,500.0
half,638.0,396.0
first,2111.0,2386.0
personally,93.0,128.0
bad,3732.0,953.0
wasn't,740.0,410.0
extended,30.0,29.0
thought,928.0,827.0
cliched,18.0,7.0
california,40.0,57.0
dreaming,11.0,11.0
hear,194.0,191.0
time,3084.0,3298.0
chungking,4.0,0.0
express,41.0,38.0
alright,73.0,26.0
mainstream,43.0,54.0
audiences,101.0,142.0
crouching,3.0,9.0
tiger,13.0,26.0
nadir,10.0,2.0
horror,1097.0,741.0
making,864.0,633.0
reached,26.0,35.0
book,605.0,559.0
shadows,20.0,39.0
wrong,586.0,344.0
makes,898.0,1206.0
look,1160.0,962.0
magnficiant,1.0,0.0
ambersons,1.0,3.0
compared,125.0,134.0
piece,460.0,307.0
shameless,18.0,5.0
unexpurgated,1.0,1.0
fecal,8.0,1.0
matter,253.0,322.0
audacity,5.0,3.0
call,304.0,173.0
itself,403.0,360.0
write,211.0,112.0
i'm,1399.0,929.0
still,1116.0,1654.0
angry,92.0,70.0
idiot,69.0,24.0
renting,64.0,21.0
bobbins,1.0,0.0
people,2413.0,2184.0
english,210.0,239.0
forest,57.0,38.0
lived,88.0,108.0
uk,48.0,74.0
two,1508.0,1924.0
thirds,14.0,5.0
life,1219.0,2100.0
far,837.0,693.0
know,1669.0,1390.0
dark,267.0,403.0
uncharted,5.0,3.0
woodlands,1.0,1.0
midlands,1.0,0.0
bally,1.0,1.0
thing,1418.0,845.0
looked,347.0,171.0
national,64.0,70.0
trust,68.0,82.0
conifer,1.0,0.0
plantation,4.0,10.0
those,1132.0,1299.0
angels,28.0,46.0
anorexic,3.0,3.0
pornstars,1.0,0.0
turned,250.0,200.0
research,58.0,43.0
bit,651.0,875.0
judd,10.0,21.0
ripped,55.0,11.0
pieces,102.0,121.0
p,98.0,78.0
s,916.0,987.0
love,1024.0,2052.0
admire,25.0,41.0
tom,159.0,184.0
savini,10.0,0.0
act,365.0,258.0
pokemon,6.0,25.0
legendary,36.0,70.0
strong,155.0,367.0
celebi,3.0,3.0
though,1014.0,1277.0
turns,300.0,339.0
evil,395.0,322.0
suicune,1.0,0.0
appearance,98.0,109.0
